pais;entidad_estatal;referencia;descripcion;fase_actual;fecha_publicacion;fecha_presentacion_ofertas;url_detalle
COLOMBIA;AGENCIA DE COMERCIALIZACIÓN Y DE COMPETITIVIDAD PARA EL DESARROLLO REGIONAL – ACODER;ACODER-CDCI-333-2026;ACODER-CDCI-333-2026;Presentación de oferta;11 horas de tiempo transcurrido (17/08/2026 8:45:39 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10721558
COLOMBIA;CAUCA FUTURA S.A.;CF-001-2026;JULIO CÉSAR BARCOS ESPITALETA;Presentación de oferta;1 día de tiempo transcurrido (17/08/2026 6:29:36 AM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10721002
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-323;1.360.19.13-326 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 6:39:13 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10720412
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-343;1.360.19.13-333 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 6:32:52 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10720410
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-333;1.360.19.13-340 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 6:25:15 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10720408
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-325;1.360.19.13-338 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 6:08:54 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10720406
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-338;1.360.19.13-331 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 6:02:16 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10720404
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-331;1.360.19.13-329 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 5:50:13 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10720403
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-329;1.360.19.13-326 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 5:39:42 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10719998
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-344;1.360.19.13-342 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 5:22:25 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10720321
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-340;1.360.19.13-325 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 5:15:16 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10720318
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-342;1.360.19.13-337 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 5:01:14 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10720316
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13- 337;1.360.19.13-334 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 4:46:08 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10719993
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-335;1.360.19.13-334 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 4:38:59 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10719992
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-330;1.360.19.13-328 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 2:57:02 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10719976
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-328;1.360.19.13-326 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 2:48:11 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10719879
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-326;1.360.19.13-341 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 2:38:15 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10719878
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-339;1.360.19.13-336 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 2:17:28 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10719773
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-332;1.360.19.13-327 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 1:42:05 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10719972
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-336;1.360.19.13-332 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 1:32:40 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10719967
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-341;1.360.19.13-339 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 1:21:41 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10719966
COLOMBIA;ALCALDIA MUNICIPIO DE DOSQUEBRADAS;CD-1792-2026;PRESTAR SERVICIOS PROFESIONALES ESPECIALIZADOS DEL AREA PROYECTOS EN LA SECRETARÍA DE PLANEACIÓN DEL MUNICIPIO DE DOSQUEBRADAS;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 1:13:52 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10719761
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-327;1.360.19.13-324 copia;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 1:10:34 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10719964
COLOMBIA;SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE;1.360.19.13-324;PRESTACIÓN DE SERVICIOS;Presentación de oferta;1 día de tiempo transcurrido (16/08/2026 12:55:44 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10719963
